Gemeente,Provincie,Stemmen op coalitie,Stemmen op PVV,Inwoners,Benzine,Diesel,Alles elektrisch,Aardgas,Alcohol,Elektriciteit,Hybride,Hybride met stekker,LNG,LPG,Waterstof,Bevolkingsdichtheid,Huishoudgrootte,Koopwoningen,Huurwoningen,Huurwoningen corporatie,Huurwoningen overig,WOZ,Gemeentenaam Allecijfers,Regio's,predicted_electric
Boekel,Noord-Brabant,0.72,0.31,11163,65%,26%,7.59,0%,0%,"2,99%","4,04%","0,56%",0%,"1,20%",0%,327,"2,43",73.9,"26,1","15,3","10,8",417,Gemeente Boekel,Boekel,10.83772963890807
Borger-Odoorn,Drenthe,0.68,0.28,25919,66%,24%,7.98,0%,0%,"1,70%","5,90%","0,38%",0%,"1,85%",0%,95,"2,23",73.9,"26,1","19,5","6,6",304,Gemeente Borger-Odoorn,Borger-Odoorn,8.333956493201647
Borne,Overijssel,0.73,0.22,24524,71%,17%,11.75,0%,0%,"3,32%","7,90%","0,53%",0%,"0,88%",0%,948,"2,34",69.9,"30,1","21,7","8,4",394,Gemeente Borne,Borne,10.012998171740506
Borsele,Zeeland,0.56,0.23,23159,66%,25%,8.61,0%,0%,"2,41%","5,90%","0,30%",0%,"0,46%",0%,163,"2,32",74.8,"25,1","19,8","5,3",319,Gemeente Borsele,Borsele,9.810961095598355
Boxtel,Noord-Brabant,0.61,0.26,33748,70%,19%,10.38,0%,0%,"3,18%","6,70%","0,50%",0%,"1,07%",0%,492,"2,18",62.5,"37,4","28,4",9,381,Gemeente Boxtel,Boxtel,11.467906684966794
Breda,Noord-Brabant,0.54,0.2,186438,52%,14%,33.39,"0,26%",0%,20%,13%,"0,39%",0%,"0,49%",0%,1496,"2,01",54.8,"45,2","28,4","16,8",390,Gemeente Breda,Breda,13.186516677770975
Bronckhorst,Gelderland,0.69,0.2,36277,68%,21%,9.33,0%,0%,"3,24%","5,70%","0,39%",0%,"1,15%",0%,127,"2,26",70.8,"29,1","18,3","10,8",438,Gemeente Bronckhorst,Bronckhorst,10.502571119388255
Brummen,Gelderland,0.63,0.24,21105,72%,16%,10.21,0%,0%,"3,19%","6,50%","0,52%",0%,"1,31%",0%,255,"2,21",63.1,"36,9","30,2","6,7",384,Gemeente Brummen,Brummen,10.824117404424536
Brunssum,Limburg,0.7,0.42,27682,80%,10%,9.04,0%,0%,"1,64%","7,20%","0,20%",0%,"1,08%",0%,1611,"1,98",61.4,"38,5","28,3","10,2",224,Gemeente Brunssum,Brunssum,9.48124531164022
Bunnik,Utrecht,0.45,0.13,16026,65%,19%,14.72,0%,0%,"4,48%","9,20%","1,04%",0%,"1,17%",0%,436,"2,3",73.5,"26,4","16,1","10,3",523,Gemeente Bunnik,Bunnik,15.121175785189909
Bunschoten,Utrecht,0.64,0.34,22500,67%,21%,11.78,0%,0%,"2,98%","8,20%","0,60%",0%,"0,87%",0%,744,"2,52",73.2,"26,8","14,5","12,3",439,Gemeente Bunschoten,Bunschoten,13.112275827040818
Buren,Gelderland,0.67,0.31,27725,65%,23%,10.43,0%,0%,"3,11%","6,80%","0,52%",0%,"1,52%",0%,208,"2,35",74.6,"25,3","19,3",6,444,Gemeente Buren,Buren,11.968768502397285
Capelle aan den IJssel,Zuid-Holland,0.55,0.27,67552,74%,11%,14.21,0%,0%,"3,54%",10%,"0,67%",0%,"0,76%",0%,4803,"2,09",53.9,46,"34,5","11,5",350,Gemeente Capelle aan den IJssel,Capelle aan den IJssel,16.09950790304865
Castricum,Noord-Holland,0.54,0.18,36345,70%,15%,13.74,0%,0%,"3,84%","8,90%","1,00%","0,05%","1,22%",0%,733,"2,21",74.9,"25,1",16,"9,1",485,Gemeente Castricum,Castricum,13.825979951479354
Coevorden,Drenthe,0.71,0.28,35700,66%,25%,7.29,0%,0%,"1,89%","5,10%","0,30%",0%,"1,45%",0%,121,"2,2",69.4,"30,5","23,2","7,3",297,Gemeente Coevorden,Coevorden,7.92386019356714
Cranendonck,Noord-Brabant,0.74,0.33,20851,70%,19%,7.9,0%,0%,"2,41%","5,20%","0,29%",0%,"2,42%",0%,272,"2,22",73.1,"26,9","16,3","10,6",372,Gemeente Cranendonck,Cranendonck,9.736580991164036
Culemborg,Gelderland,0.48,0.2,29729,68%,17%,13.89,0%,0%,"4,14%","9,20%","0,55%",0%,"1,03%",0%,1023,"2,25",63.9,36,"26,1","9,9",388,Gemeente Culemborg,Culemborg,13.238444599452563
Dalfsen,Overijssel,0.67,0.19,29612,64%,25%,9.34,0%,0%,"2,23%","6,30%","0,81%",0%,"1,82%",0%,180,"2,4",74.4,"25,6","17,2","8,4",430,Gemeente Dalfsen,Dalfsen,10.447867004774391
Dantumadiel,Fryslï¿½n,0.64,0.3,19194,66%,28%,4.68,0%,0%,"1,34%","2,95%","0,39%",0%,"1,67%",0%,226,"2,34",63.5,"36,5",32,"4,5",309,Gemeente Dantumadiel,Dantumadiel,9.578161979855114
De Bilt,Utrecht,0.45,0.13,43884,69%,16%,14.19,0%,0%,"4,37%","8,80%","1,02%",0%,"1,08%",0%,661,"2,2",60.8,"39,1","27,2","11,9",580,Gemeente De Bilt,De Bilt,16.94435820830005
De Fryske Marren,Fryslï¿½n,0.66,0.25,51992,61%,29%,8.53,"0,34%",0%,"3,53%","4,63%","0,37%",0%,"1,10%",0%,148,"2,24",69.9,"29,8","22,9","6,9",341,Gemeente De Fryske Marren,De Fryske Marren,9.283476371266815
De Ronde Venen,Utrecht,0.63,0.23,45572,67%,18%,13.83,0%,0%,"4,11%",9%,"0,72%",0%,"0,89%",0%,460,"2,28",66.4,"33,6","23,8","9,8",516,Gemeente De Ronde Venen,De Ronde Venen,13.772808660600559
